movieID,rating,numberOfRatings
184,4.5,2
185,3.180723,83
186,2.868421,38
187,2.5,2
188,3.125,16
189,4.0,1
190,3.8333333,6
191,3.0,5
193,2.4814816,27
194,4.2727275,22
195,3.2142856,14
196,2.86,50
198,3.5128205,39
199,3.3333333,3
200,4.0,1
201,4.0,1
202,3.0,4
203,3.4285715,21
204,3.1111112,27
205,4.0,4
206,3.6,10
207,3.44,25
208,2.8924732,93
209,2.6,5
211,3.3333333,3
213,4.2222223,9
214,3.0,2
214,3.0,2
215,3.5833333,12
216,3.0,38
217,2.7142856,7
218,3.3333333,15
219,4.25,4
220,3.0,2
222,4.0526314,19
223,4.082353,85
224,3.5757575,33
225,3.12,50
227,3.2,15
228,2.0,1
229,4.0833335,12
230,3.7916667,24
230,3.7916667,24
230,3.7916667,24
231,3.136,125
232,4.181818,22
233,4.25,12
234,2.75,12
235,3.9552238,67
235,3.9552238,67
236,3.4117646,51
236,3.4117646,51
237,3.2258065,31
238,3.0,5
239,2.9230769,13
240,3.4,5
241,3.5,4
242,3.75,4
243,4.0,1
244,3.0,1
245,3.0,1
246,4.148148,54
246,4.148148,54
247,3.6410255,39
248,3.1538463,13
249,3.3529413,17
250,3.25,4
251,3.0,1
252,3.0526316,38
253,3.418182,110
254,3.0,4
255,2.2,5
256,2.878788,33
257,3.75,12
258,2.4,10
259,3.75,4
260,4.2708335,240
261,3.7608695,46
262,3.8125,16
263,3.0,1
264,4.5,2
265,3.9122808,57
266,3.546875,64
267,2.6,10
268,4.25,4
269,3.6666667,3
270,3.2222223,9
271,3.5,4
272,4.0,33
273,3.1538463,26
274,2.6666667,3
275,2.8,5
276,2.8636363,22
276,2.8636363,22
277,3.4,30
278,3.0,5
279,3.6666667,3
280,4.142857,21
281,4.0,15
282,3.292683,41
283,3.0,1
285,4.0,1
287,3.2,5
288,3.2808988,89
289,3.6153846,13
290,4.071429,14
291,2.0,6
292,3.3085105,94
293,4.059406,101
294,3.3333333,3
295,3.0,4
296,4.276923,260
299,3.75,16
300,3.772152,79
301,5.0,1
302,3.7142856,7
303,3.2380953,21
304,3.3333333,3
305,2.75,12
306,4.3333335,27
307,4.214286,28
308,4.1904764,21
309,5.0,3
312,3.6,5
313,2.7142856,7
314,3.9411764,17
315,2.8611112,36
316,3.3968253,126
317,3.0163934,61
318,4.546154,260
319,4.0,32
320,2.75,4
321,3.5,6
321,3.5,6
321,3.5,6
321,3.5,6
322,3.6,10
324,3.3333333,3
325,3.0,1
326,4.1666665,6
327,2.826087,23
328,3.625,8
329,3.4705882,102
330,2.7,10
331,3.0,6
332,3.2,10
333,3.357143,42
334,3.0714285,14
335,3.0,3
336,3.0,1
337,3.7702703,74
338,2.9230769,13
339,3.525641,78
340,3.0,8
341,4.5,2
342,3.468085,47
343,3.0,1
343,3.0,1
344,2.9275362,138
345,3.825,40
346,3.0,6
347,3.857143,7
347,3.857143,7
348,3.9714286,35
349,3.8113208,106
350,3.3333333,66
350,3.3333333,66
351,3.1666667,12
351,3.1666667,12
352,3.3333333,6
353,3.5344827,58
354,3.5,2
354,3.5,2
355,2.3636363,33
356,4.0833335,276
357,3.7087379,103
358,2.4285715,7
360,2.5,12
361,3.409091,22
361,3.409091,22
362,3.36,25
363,4.75,4
364,3.836478,159
365,2.875,8
366,3.2727273,11
367,3.1322315,121
368,3.5737705,61
369,3.125,8
370,3.125,48
371,3.25,20
372,3.0357144,28
372,3.0357144,28
373,4.1764708,17
373,4.1764708,17
373,4.1764708,17
374,2.0714285,14
375,3.6666667,3
376,3.4390244,41
377,3.64,150
378,3.25,12
379,3.3888888,18
380,3.5625,160
381,3.16,25
382,3.1176472,17
383,3.3333333,12
384,3.25,4
387,3.6666667,3
388,3.6666667,6
389,4.0,1
390,4.25,4
391,3.0,3
392,2.6666667,3
393,2.0,4
401,4.0,1
405,2.2142856,14
407,3.0,9
408,3.0,1
408,3.0,1
410,3.2542372,59
412,3.5416667,24
413,2.5,20
414,2.6666667,6
415,2.8,10
416,3.6,5
417,3.6153846,13
418,3.0,2
419,2.6153846,13
420,2.764706,51
421,3.0,11
422,3.75,8
423,3.3846154,13
424,4.0,1
424,4.0,1
425,4.0,3
426,3.1666667,12
427,2.4285715,14
428,3.7,20
429,2.5555556,9
431,3.7777777,27
432,2.7547169,53
433,2.857143,7
434,3.2,90
435,2.5217392,46
436,2.2,5
437,2.75,4
438,3.0,2
439,1.0,1
440,3.617284,81
441,3.5714285,28
442,3.0869565,69
443,2.6666667,6
444,3.0,5
445,3.1111112,9
446,4.0,9
447,4.0,1
448,3.7,10
449,3.5,2
450,3.4375,16
451,3.4285715,7
452,4.0,8
453,2.4,5
454,3.4893618,94
455,2.851852,27
456,3.3333333,6
457,3.9884393,173
458,3.75,4
459,3.5,2
460,2.5,2
460,2.5,2
461,3.25,4
463,3.4285715,7
464,3.1111112,9
465,3.5,4
465,3.5,4
466,3.2765958,47
467,3.3333333,3
468,3.387097,31
469,3.125,8
470,2.0,3
471,3.9767442,43
472,3.5,2
473,1.0,3
474,3.9444444,72
475,4.230769,26
476,4.0,1
477,3.5333333,15
479,3.25,4
480,3.7466063,221
481,3.3214285,28
481,3.3214285,28
482,3.1111112,9
483,2.75,4
484,2.6,5
485,2.9534883,43
486,2.5,2
487,3.5,2
487,3.5,2
488,3.0,3
489,2.6363637,11
490,3.4285715,14
491,3.368421,19
492,3.7222223,18
493,3.2380953,21
494,3.457627,59
494,3.457627,59
494,3.457627,59
494,3.457627,59
495,4.0,5
496,2.6666667,3
497,4.0740743,54
498,2.6666667,3
499,3.0,1
500,3.5333333,120
501,4.142857,14
502,2.625,8
504,3.2,5
505,2.7142856,7
506,3.1111112,9
507,3.5,16
508,3.7391305,69
509,3.774648,71
509,3.774648,71
510,2.75,4
511,3.0,3
512,3.5,2
513,2.5,6
513,2.5,6
514,3.6666667,15
515,4.095238,42
516,2.9230769,13
517,3.0666666,15
518,2.3,10
519,2.347826,23
519,2.347826,23
519,2.347826,23
520,3.137255,51
521,3.6,10
522,2.75,8
523,3.3333333,6
524,3.607143,28
526,1.0,1
527,4.4040403,198
528,2.5,2
529,4.0,39
531,3.642857,28
531,3.642857,28
532,3.3846154,13
533,3.3333333,6
534,4.2,25
535,3.875,24
536,2.25,4
537,3.0,9
538,3.9166667,24
539,3.5,106
539,3.5,106
540,3.0,15
541,4.1130433,115
542,2.7333333,15
543,3.3181818,44
543,3.3181818,44
544,2.625,8
546,1.7142857,14
547,3.0,5
548,3.0,9
549,4.2222223,9
550,3.2727273,11
551,3.68,75
552,3.225,40
553,3.48,50
554,3.0,2
555,3.9444444,54
555,3.9444444,54
556,3.9166667,12
558,2.6666667,9
559,5.0,1
561,3.0,1
562,3.88,25
563,3.0,1
564,3.0,1
565,4.5,2
567,4.0,2
568,3.5,2
569,2.5,6
571,4.0,1
573,1.0,1
574,3.3333333,9
574,3.3333333,9
575,3.6666667,12
577,2.0,2
580,3.0,3
581,4.266667,15
582,4.0,1
585,3.2580645,31
586,3.15625,96
587,3.4038463,104
588,3.751445,173
589,4.0454545,198
590,3.7191012,178
592,3.3841465,164
593,4.198347,242
594,3.7704918,61
595,3.7945206,146
596,3.6666667,57
597,3.3589745,117
599,4.0,11
600,4.0,1
603,3.0,1
605,3.3888888,18
606,3.0,5
608,4.302564,195
609,3.0769231,13
610,3.4,30
611,3.0,7
612,2.6666667,6
613,3.5833333,12
614,1.5,2
615,3.5,2
616,3.6,35
617,1.0,1
617,1.0,1
619,1.6666666,3
619,1.6666666,3
620,4.0,1
621,3.3333333,3
626,2.0,1
627,3.3333333,9
628,3.8913043,46
630,3.5,2
631,3.4444444,9
632,4.5,2
633,4.0,3
635,3.857143,7
637,2.851852,27
638,4.0,1
639,3.2,5
640,3.3333333,18
640,3.3333333,18
647,3.8076923,26
648,3.551181,127
650,3.142857,7
651,1.0,1
653,3.28,50
656,3.0,2
659,4.0,1
661,3.7727273,44
662,3.1111112,9
663,3.4117646,17
664,3.5,2
665,3.4,5
667,3.6666667,3
667,3.6666667,3
668,4.0,2
668,4.0,2
670,2.5,2
671,4.032258,31
673,2.8611112,36
674,2.65,20
678,4.0,10
679,4.0,1
680,3.8,5
681,3.0,1
685,3.6666667,3
687,3.0,2
688,2.4444444,9
690,4.0,1
691,3.5,6
692,2.0,1
694,2.8888888,9
695,4.0,2
696,2.0,2
697,3.3333333,3
698,3.0,1
700,3.142857,7
702,5.0,1
703,3.0,1
704,3.0,6
704,3.0,6
705,3.0,2
707,3.12,25
708,3.5555556,54
709,2.909091,11
710,1.5,2
711,3.2222223,9
711,3.2222223,9
711,3.2222223,9
714,3.0,7
715,2.6666667,3
718,3.0,3
719,2.9655173,29
720,4.0,41
721,4.0,1
722,4.0,2
724,3.21875,32
725,2.3333333,3
726,3.0,2
728,4.0,15
731,2.75,4
733,3.7672415,116
735,4.125,8
735,4.125,8
736,3.2764227,123
737,2.357143,14
741,4.1904764,21
741,4.1904764,21
742,2.8,5
743,2.8125,16
745,4.36,50
746,2.0,1
746,2.0,1
747,2.0,1
747,2.0,1
748,3.2777777,18
750,4.3012047,83
753,3.5,4
754,3.6666667,3
755,2.0,1
756,3.0,1
757,4.0,1
759,5.0,2
760,3.3333333,3
761,3.125,16
762,2.6451614,31
764,5.0,1
765,2.7058823,17
766,4.2222223,9
767,4.0,1
769,3.0,1
775,2.0,1
778,4.1910114,89
778,4.1910114,89
779,3.3333333,3
780,3.6047904,167
781,3.75,4
782,3.3333333,6
783,3.5555556,36
783,3.5555556,36
784,2.590909,44
784,2.590909,44
785,3.3863637,44
786,3.2258065,62
787,4.5,2
787,4.5,2
787,4.5,2
788,3.2105262,57
793,4.0,1
798,3.4166667,12
799,3.1904762,21
800,4.0625,32
800,4.0625,32
801,3.2727273,11
802,3.3770492,61
802,3.3770492,61
803,4.0,1
803,4.0,1
804,2.8461537,13
804,2.8461537,13
805,3.868421,38
806,2.8888888,9
806,2.8888888,9
808,3.0,1
809,2.75,4
810,2.1666667,6
813,2.6666667,3
816,3.0,1
818,2.5454545,11
820,5.0,1
824,3.0,3
828,3.6666667,3
829,1.0,7
830,3.2,25
831,3.5,2
832,3.65625,64
833,2.0,3
834,3.0,1
835,3.1666667,6
836,2.6666667,12
837,3.75,16
838,3.7777777,36
839,3.2222223,9
840,3.5,2
841,4.0,5
842,2.3333333,3
844,3.0,1
845,5.0,1
846,4.0,3
848,3.4545455,11
849,2.8947368,19
850,4.5,4
851,3.0,8
852,3.292683,41
854,4.0,1
858,4.5582824,163
861,3.3,10
864,3.5,2
865,4.0,1
866,3.9,20
867,3.0,1
869,2.75,4
870,1.6666666,3
872,5.0,1
875,4.0,2
876,5.0,1
879,3.5,4
880,2.4444444,18
881,3.0,4
882,2.6666667,3
885,2.0,1
885,2.0,1
888,3.6666667,3
889,4.0,1
891,2.2222223,9
892,3.8333333,6
893,4.6666665,3
896,3.6666667,3
897,3.3333333,3
898,4.419355,31
899,4.3265305,49
899,4.3265305,49
900,4.05,20
901,4.0,10
902,3.764706,34
903,4.357143,56
904,4.324324,74
904,4.324324,74
905,4.4545455,22
906,3.5833333,12
907,4.090909,11
908,4.2916665,72
909,3.8,30
910,4.1509433,53
911,4.173913,23
912,4.33,100
913,4.428571,56
914,3.871795,39
915,3.9,20
916,4.0,23
917,3.7142856,7
918,3.8333333,12
919,3.9789474,95
919,3.9789474,95
920,4.089286,56
921,3.9,20
922,4.366667,30
923,4.2608695,69
924,4.0,103
926,4.5151515,33
927,4.75,4
927,4.75,4
928,4.2352943,17
929,3.8,5
929,3.8,5
930,4.3125,16
931,3.6666667,12
932,3.5333333,15
933,4.0,23
933,4.0,23
934,3.6666667,18
935,4.2,5
936,3.7272727,11
937,3.8,5
938,3.8888888,9
939,4.0,1
940,3.9411764,17
940,3.9411764,17
941,3.6666667,3
941,3.6666667,3
942,3.85,20
943,4.0,10
944,3.0,3
945,4.0,21
946,4.3,10
947,3.6,10
948,3.625,8
948,3.625,8
949,3.5384614,13
950,4.6666665,12
951,4.285714,21
952,3.3333333,18
953,4.2,60
954,4.275862,29
955,4.230769,26
956,4.0,2
957,4.0,1
960,2.5,2
961,5.0,1
962,3.0,2
963,3.0,2
964,2.5,2
964,2.5,2
965,3.8461537,13
966,4.0,1
968,4.12,25
969,4.571429,42
970,3.5,4
970,3.5,4
971,3.8125,16
971,3.8125,16
973,4.285714,7
976,3.0,2
980,1.0,1
981,1.0,1
982,3.0,4
984,4.5,2
984,4.5,2
986,3.5384614,13
987,3.0,1
987,3.0,1
988,4.0,2
988,4.0,2
991,3.5,12
992,2.5,2
994,4.368421,19
996,3.0,6
997,2.6666667,3
998,3.6666667,3
999,3.4666667,15
1003,3.0,5
1003,3.0,5
1004,3.0,2
1004,3.0,2
1005,2.8333333,6
1006,3.25,4
1007,2.7272727,11
1008,3.5,4
1009,3.2941177,17
1010,3.125,16
1011,3.625,8
1012,3.6111112,18
1013,3.3157895,19
1014,3.25,8
1014,3.25,8
1014,3.25,8
1015,3.5333333,15
1016,3.1,10
1017,3.25,16
1018,3.375,8
1019,3.625,32
1020,3.3333333,24
1021,3.2307692,13
1022,3.5957446,47
1023,4.125,16
1024,3.25,4
1025,3.6086957,23
1025,3.6086957,23
1025,3.6086957,23
1027,3.2058823,34
1028,3.857143,63
1029,3.857143,35
1030,3.3125,16
1031,3.5,22
1032,3.682927,41
1033,3.5333333,15
1034,3.8888888,9
1035,4.0923076,65
1036,3.9056604,106
1036,3.9056604,106
1037,2.9583333,24
1040,4.0,1
1041,3.826087,23
1042,3.4871795,39
1043,2.6666667,3
1044,3.0,1
1046,3.875,8
1046,3.875,8
1046,3.875,8
1047,3.3913043,23
1047,3.3913043,23
1049,3.6666667,15
1050,3.5714285,7
1051,3.0,7
1053,2.0,1
1054,1.5,2
1055,2.0,3
1056,4.0,4
1057,3.9333334,15
1059,3.609756,41
1060,4.257143,35
1061,3.5517242,29
1063,4.3333335,3
1064,3.0833333,12
1066,4.5,10
1067,4.0,1
1067,4.0,1
1069,3.6666667,3
1073,3.8099174,121
1073,3.8099174,121
1076,4.0,1
1077,4.090909,33
1078,3.764706,17
1079,4.0657897,76
1080,4.0434785,69
1081,3.7142856,28
1082,3.6875,16
1083,3.0,8
1084,3.8958333,48
1085,3.5,8
1086,4.095238,21
1086,4.095238,21
1086,4.095238,21
1087,3.5,2
1088,3.3829787,47
1089,4.2038836,103
1090,4.0588236,51
1091,2.5652175,23
1091,2.5652175,23
1092,3.3555555,45
1093,3.0357144,28
1094,3.9545455,44
1095,3.875,24
1095,3.875,24
1096,4.0833335,24
1097,3.8253968,126
1097,3.8253968,126
1099,4.0,7
1099,4.0,7
1100,2.5333333,15
1101,3.3333333,54
1103,4.0,33
1103,4.0,33
1104,3.9714286,35
1104,3.9714286,35
1105,3.0,1
1111,4.0,7
1112,3.6666667,3
1113,2.4285715,7
1114,3.0,2
1120,3.6538463,26
1123,4.0,2
1124,3.5769231,26
1125,3.4074075,27
1126,2.5555556,9
1127,3.6333334,60
1128,3.6,5
1129,3.2894738,38
1130,3.75,8
1130,3.75,8
1130,3.75,8
1131,4.142857,14
1132,3.6,15
1133,3.0,1
1135,3.347826,23
1136,4.245283,106
1137,4.0,1
1145,3.0,1
1145,3.0,1
1147,4.5,12
1148,4.237288,59
1150,3.8,10
1151,4.0,1
1152,3.0,1
1153,3.0,1
1154,1.0,1
1161,4.0,7
1162,3.6,5
1163,2.5,2
1164,1.0,1
1164,1.0,1
1167,2.0,3
1168,3.0,1
1169,4.0,1
1171,3.580645,31
1172,4.3157897,38
1173,3.2,15
1174,3.0,1
1174,3.0,1
1175,4.1666665,24
1176,3.7777777,9
1177,3.7692308,13
1178,4.5,14
1179,3.8611112,36
1180,3.6666667,3
1181,4.0,1
1183,3.672131,61
1184,4.0,4
1185,3.7916667,24
1185,3.7916667,24
1186,3.9545455,22
1187,3.7,10
1188,3.5172415,29
1188,3.5172415,29
1189,4.0,16
1190,2.5,4
1191,3.5555556,9
1192,4.625,8
1193,4.309091,110
1194,3.7692308,13
1196,4.296296,189
1197,4.272,125
1198,4.274286,175
1199,4.1363635,44
1200,3.9607842,102
1201,4.025,40
1201,4.025,40
1202,3.5,6
1203,4.3050847,59
1204,4.2444444,45
1206,4.129032,93
1207,4.237288,59
1208,4.345679,81
1208,4.345679,81
1209,4.4545455,11
1210,4.1271677,173
1210,4.1271677,173
1211,4.4666667,15
1212,4.387097,31
1213,4.254902,102
1214,4.04,100
1215,3.897436,39
1216,2.75,4
1217,4.45,20
1218,4.25,12
1219,4.2727275,66
1220,4.013158,76
1220,4.013158,76
1221,4.477876,113
1222,4.1267605,71
1223,4.0588236,34
1224,4.2,20
1225,4.234568,81
1226,3.7,10
1227,4.2222223,18
1228,4.4102564,39
1230,4.2173915,69
1231,3.9756098,41
1232,4.285714,7
1233,4.369565,46
1234,4.0212765,47
1235,4.0285716,35
1236,3.8,5
1237,4.3076925,13
1238,4.125,16
1240,4.042735,117
1240,4.042735,117
1240,4.042735,117
1241,3.7142856,7
1242,3.862745,51
1243,4.25,20
1244,3.9545455,44
1245,3.9130435,23
1246,3.8529413,68
1247,4.178082,73
1248,4.25,16
1249,4.0,34
1249,4.0,34
1250,4.181818,55
1251,3.9333334,15
1252,4.428571,63
1253,3.8125,16
1253,3.8125,16
1254,4.357143,28
1255,3.7777777,9
1256,4.1034484,29
1257,3.952381,21
1258,4.115942,69
1259,4.10989,91
1260,4.3333335,18
1261,3.7391305,23
1261,3.7391305,23
1262,4.21875,32
1263,3.9756098,41
1264,4.285714,14
1265,3.852459,122
1266,3.952381,42
1267,4.1860466,43
1268,3.4705882,17
1269,3.939394,33
1270,4.0457144,175
1271,3.84375,32
1271,3.84375,32
1272,4.15625,32
1273,3.8235295,17
1274,3.96,25
1275,3.5365853,41
1275,3.5365853,41
1275,3.5365853,41
1276,4.4857144,35
1276,4.4857144,35
1277,4.111111,9
1278,4.147541,61
1279,3.7,10
1280,4.117647,17
1281,4.047619,21
1282,3.7358491,53
1283,4.15,20
1284,4.0,27
1285,3.8,45
1286,3.7058823,17
1287,4.025,40
1288,4.16129,62
1289,3.909091,11
1290,3.5,10
1291,4.0,108
1292,4.16,25
1293,4.03125,32
1295,2.9230769,13
1296,3.857143,28
1297,3.4705882,17
1298,3.7368422,19
1299,4.34375,32
1300,4.117647,17
1301,4.125,8
1302,3.6458333,48
1303,3.9230769,13
1304,4.2539682,63
1304,4.2539682,63
1305,4.285714,7
1306,2.857143,7
1307,4.0,73
1307,4.0,73
1307,4.0,73
1312,5.0,1
1317,4.0,1
1320,3.102564,39
1321,3.642857,28
1322,2.5,2
1323,2.25,4
1324,1.0,1
1325,1.0,1
1326,2.6666667,3
1327,3.25,12
1328,1.0,1
1329,3.0,1
1330,3.4285715,7
1331,2.3333333,3
1332,3.8333333,6
1333,3.7894738,38
1334,3.1333334,15
1335,4.0,1
1336,3.5,2
1337,2.5,2
1337,2.5,2
1339,3.2162163,37
1340,3.6666667,6
1341,4.0,4
1342,3.1538463,13
1343,3.7428572,35
1344,3.5882354,17
1345,3.7096775,31
1346,3.1111112,9
1347,3.3181818,22
1348,3.8947368,19
1349,4.5,2
1350,3.3913043,23
1351,4.0,2
1352,3.5,4
1353,3.0,12
1354,4.0588236,17
1355,2.5,2
1356,4.0,68
1357,4.0,33
1358,4.0526314,57
1359,2.0,8
1359,2.0,8
1361,4.181818,11
1363,3.5,6
1365,3.6,5
1366,4.0833335,12
1367,3.3846154,26
1369,2.5,2
1370,3.4545455,44
1370,3.4545455,44
1371,3.0277777,36
1372,3.375,40
1373,2.8181818,22
1374,3.7666667,60
1375,3.3809524,42
1376,3.5517242,58
1377,3.0196078,51
1378,3.2272727,22
1379,2.8461537,13
1380,3.53125,64
1381,2.5625,16
1382,2.0,2
1384,4.0,1
1385,3.25,12
1387,3.8068182,88
1388,2.8,20
1389,1.8181819,11
1390,3.5,6
1390,3.5,6
1391,3.0508475,59
1392,3.375,8
1392,3.375,8
1393,3.75,84
1394,3.9661016,59
1395,3.3333333,12
1396,3.75,40
1397,3.0,2
1398,3.5,4
1399,3.625,8
1401,3.5,8
1404,2.75,4
1405,3.0810812,37
1406,3.25,4
1407,3.5454545,55
1408,3.5,30
1409,3.0,26
1410,2.75,4
1411,4.3333335,21
1413,3.5,4
1414,3.7,10
1415,3.5,2
1416,3.2222223,18
1417,2.0,1
1419,3.5,8
1420,5.0,1
1422,3.0,14
1423,4.0,1
1425,2.875,8
1427,3.2,5
1428,5.0,1
1429,3.9,10
1429,3.9,10
1431,3.0,6
1432,3.4,5
1433,3.0,1
1437,4.0,2
1438,2.7777777,18
1440,3.0,4
1441,3.4,25
1442,2.5,2
1444,4.0,1
1445,2.0,3
1446,3.875,8
1446,3.875,8
1447,2.5,2
1449,3.909091,22
1450,5.0,1
1453,2.6666667,6
1454,3.0,1
1455,5.0,1
1456,1.5,2
1457,3.0,9
1458,3.0,1
1459,3.05,20
1460,3.3333333,6
1461,2.5,10
1463,4.5,2
1464,3.6666667,18
1465,4.0,1
1466,3.9333334,30
1468,2.3333333,3
1472,4.0,1
1473,2.0,2
1474,1.6666666,6
1474,1.6666666,6
1474,1.6666666,6
1475,4.0,1
1476,3.5714285,21
1476,3.5714285,21
1476,3.5714285,21
1479,3.1666667,30
1479,3.1666667,30
1480,3.6,5
1482,3.0,2
1483,3.125,8
1484,4.0,2
1484,4.0,2
1485,3.2115386,52
1487,3.2857144,7
1488,3.0,15
1489,3.5,4
1489,3.5,4
1490,1.0,1
1493,4.0,1
1495,1.0,2
1495,1.0,2
1497,2.5,2
1498,3.0,7
1499,2.0434783,23
1500,3.9444444,54
1501,3.0,1
1501,3.0,1
1502,2.0,1
1503,2.6666667,6
1504,4.5,2
1507,3.0,2
1508,3.3333333,3
1513,3.3,40
1515,2.8888888,18
1516,4.0,4
1517,3.474359,78
1518,3.1818182,11
1523,4.0,2
1525,1.5,2
1526,2.1666667,6
1527,3.7272727,88
1529,3.5,2
1531,5.0,1
1531,5.0,1
1535,3.8,5
1537,4.0,17
1539,1.0,1
1541,3.0,14
1542,3.8,5
1543,5.0,1
1544,2.8888888,54
1544,2.8888888,54
1545,4.0,1
1546,2.5,2
1549,2.0,1
1550,3.0,1
1552,3.45,40
1554,3.3333333,6
1555,4.0,1
1555,4.0,1
1555,4.0,1
1556,1.6153846,13
1556,1.6153846,13
1562,2.3548386,31
1563,5.0,1
1564,4.5,2
1566,3.5769231,26
1566,3.5769231,26
1569,3.4102564,39
1569,3.4102564,39
1571,1.0,1
1571,1.0,1
1572,4.0,2
1573,3.5,54
1575,5.0,1
1575,5.0,1
1580,3.7702703,148
1581,2.0,5
1582,3.5,2
1583,1.5,2
1584,3.8055556,72
1584,3.8055556,72
1586,2.75,24
1587,3.2777777,18
1588,3.1875,16
1589,3.375,16
1589,3.375,16
1590,2.6666667,15
1591,2.8333333,12
1592,2.6666667,6
1592,2.6666667,6
1593,2.6666667,6
1594,3.4166667,12
1594,3.4166667,12
1595,2.5,2
1596,2.3333333,3
1597,3.5142858,35
1598,3.75,4
1599,1.75,4
1599,1.75,4
1600,2.6666667,3
1601,3.5,4
1602,1.0,2
1602,1.0,2
1603,2.625,8
1604,3.0,2
1605,2.8,5
1606,2.25,4
1608,3.3272727,55
1609,3.0,2
1610,3.9863014,73
1611,4.0833335,12
1612,3.0,6
1613,3.0,1
1614,3.3913043,23
1615,3.8888888,9
1616,3.6363637,11
1616,3.6363637,11
1617,4.151515,99
1619,3.5,14
1620,3.4117646,17
1621,3.0,2
1623,2.0,4
1624,4.0,1
1625,3.9333334,60
1626,1.6666666,3
1627,3.0,8
1629,3.4,5
1631,3.5,2
1631,3.5,2
1633,3.375,8
1635,4.076923,13
1636,1.0,2
1639,3.5581396,43
1640,1.0,1
1641,3.8039215,51
1642,3.0,3
1643,4.0,9
1643,4.0,9
1643,4.0,9
1643,4.0,9
1644,2.7142856,21
1645,3.4146342,41
1646,2.5714285,7
1647,2.6666667,6
1648,3.125,8
1649,3.8333333,6
1649,3.8333333,6
1649,3.8333333,6
1653,3.7586207,58
1654,3.5,2
1655,3.5,2
1657,3.0,1
1658,3.375,8
1660,3.0,2
1660,3.0,2
1661,3.6666667,3
1663,3.764706,34
1663,3.764706,34
1665,3.1666667,6
1667,2.75,8
1667,2.75,8
1668,1.5,2
1669,4.0,1
1670,3.8,5
1670,3.8,5
1672,3.8181818,11
1673,3.8846154,52
1674,4.06383,47
1676,3.125,56
1678,3.7777777,18
1680,3.7,20
1680,3.7,20
